PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=146 ttl=50 time=500 ms
64 bytes from 5.180.211.133: icmp_seq=147 ttl=50 time=294 ms
64 bytes from 5.180.211.133: icmp_seq=148 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=150 ttl=50 time=217 ms
64 bytes from 5.180.211.133: icmp_seq=149 ttl=50 time=423 ms
64 bytes from 5.180.211.133: icmp_seq=151 ttl=50 time=518 ms
64 bytes from 5.180.211.133: icmp_seq=152 ttl=50 time=315 ms
64 bytes from 5.180.211.133: icmp_seq=153 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=154 ttl=50 time=431 ms
64 bytes from 5.180.211.133: icmp_seq=155 ttl=50 time=228 ms
64 bytes from 5.180.211.133: icmp_seq=156 ttl=50 time=178 ms
64 bytes from 5.180.211.133: icmp_seq=157 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=158 ttl=50 time=143 ms
64 bytes from 5.180.211.133: icmp_seq=159 ttl=50 time=190 ms
64 bytes from 5.180.211.133: icmp_seq=160 ttl=50 time=188 ms
64 bytes from 5.180.211.133: icmp_seq=163 ttl=50 time=173 ms
64 bytes from 5.180.211.133: icmp_seq=162 ttl=50 time=379 ms
64 bytes from 5.180.211.133: icmp_seq=164 ttl=50 time=511 ms
64 bytes from 5.180.211.133: icmp_seq=165 ttl=50 time=304 ms
64 bytes from 5.180.211.133: icmp_seq=166 ttl=50 time=142 ms
64 bytes from 5.180.211.133: icmp_seq=167 ttl=50 time=199 ms
64 bytes from 5.180.211.133: icmp_seq=168 ttl=50 time=199 ms
64 bytes from 5.180.211.133: icmp_seq=169 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=170 ttl=50 time=153 ms
64 bytes from 5.180.211.133: icmp_seq=171 ttl=50 time=132 ms
64 bytes from 5.180.211.133: icmp_seq=172 ttl=50 time=166 ms
64 bytes from 5.180.211.133: icmp_seq=173 ttl=50 time=158 ms
64 bytes from 5.180.211.133: icmp_seq=174 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=175 ttl=50 time=156 ms
64 bytes from 5.180.211.133: icmp_seq=176 ttl=50 time=150 ms
64 bytes from 5.180.211.133: icmp_seq=178 ttl=50 time=262 ms
64 bytes from 5.180.211.133: icmp_seq=177 ttl=50 time=471 ms
64 bytes from 5.180.211.133: icmp_seq=179 ttl=50 time=501 ms
64 bytes from 5.180.211.133: icmp_seq=181 ttl=50 time=175 ms
64 bytes from 5.180.211.133: icmp_seq=180 ttl=50 time=379 ms
64 bytes from 5.180.211.133: icmp_seq=182 ttl=50 time=300 ms
64 bytes from 5.180.211.133: icmp_seq=183 ttl=50 time=152 ms
64 bytes from 5.180.211.133: icmp_seq=184 ttl=50 time=151 ms
64 bytes from 5.180.211.133: icmp_seq=185 ttl=50 time=202 ms
64 bytes from 5.180.211.133: icmp_seq=186 ttl=50 time=159 ms
64 bytes from 5.180.211.133: icmp_seq=188 ttl=50 time=321 ms
64 bytes from 5.180.211.133: icmp_seq=187 ttl=50 time=521 ms
64 bytes from 5.180.211.133: icmp_seq=189 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=190 ttl=50 time=426 ms
64 bytes from 5.180.211.133: icmp_seq=191 ttl=50 time=217 ms
64 bytes from 5.180.211.133: icmp_seq=192 ttl=50 time=534 ms
64 bytes from 5.180.211.133: icmp_seq=193 ttl=50 time=332 ms
64 bytes from 5.180.211.133: icmp_seq=194 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=195 ttl=50 time=265 ms
64 bytes from 5.180.211.133: icmp_seq=196 ttl=50 time=137 ms
64 bytes from 5.180.211.133: icmp_seq=197 ttl=50 time=294 ms
64 bytes from 5.180.211.133: icmp_seq=198 ttl=50 time=163 ms
64 bytes from 5.180.211.133: icmp_seq=199 ttl=50 time=155 ms
64 bytes from 5.180.211.133: icmp_seq=200 ttl=50 time=283 ms
64 bytes from 5.180.211.133: icmp_seq=201 ttl=50 time=138 ms
64 bytes from 5.180.211.133: icmp_seq=202 ttl=50 time=324 ms
64 bytes from 5.180.211.133: icmp_seq=203 ttl=50 time=194 ms
64 bytes from 5.180.211.133: icmp_seq=204 ttl=50 time=158 ms
64 bytes from 5.180.211.133: icmp_seq=206 ttl=50 time=300 ms
64 bytes from 5.180.211.133: icmp_seq=207 ttl=50 time=542 ms
64 bytes from 5.180.211.133: icmp_seq=209 ttl=50 time=207 ms
64 bytes from 5.180.211.133: icmp_seq=208 ttl=50 time=415 ms
64 bytes from 5.180.211.133: icmp_seq=210 ttl=50 time=453 ms
64 bytes from 5.180.211.133: icmp_seq=211 ttl=50 time=327 ms
64 bytes from 5.180.211.133: icmp_seq=212 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=213 ttl=50 time=450 ms
64 bytes from 5.180.211.133: icmp_seq=214 ttl=50 time=243 ms
64 bytes from 5.180.211.133: icmp_seq=215 ttl=50 time=480 ms
64 bytes from 5.180.211.133: icmp_seq=217 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=216 ttl=50 time=354 ms
64 bytes from 5.180.211.133: icmp_seq=218 ttl=50 time=273 ms
64 bytes from 5.180.211.133: icmp_seq=219 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=220 ttl=50 time=318 ms
64 bytes from 5.180.211.133: icmp_seq=221 ttl=50 time=186 ms
64 bytes from 5.180.211.133: icmp_seq=222 ttl=50 time=139 ms
64 bytes from 5.180.211.133: icmp_seq=223 ttl=50 time=305 ms
64 bytes from 5.180.211.133: icmp_seq=224 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=225 ttl=50 time=142 ms
64 bytes from 5.180.211.133: icmp_seq=226 ttl=50 time=217 ms
64 bytes from 5.180.211.133: icmp_seq=227 ttl=50 time=147 ms
64 bytes from 5.180.211.133: icmp_seq=228 ttl=50 time=148 ms
64 bytes from 5.180.211.133: icmp_seq=229 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=230 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=231 ttl=50 time=165 ms
64 bytes from 5.180.211.133: icmp_seq=233 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=234 ttl=50 time=158 ms
64 bytes from 5.180.211.133: icmp_seq=235 ttl=50 time=180 ms
64 bytes from 5.180.211.133: icmp_seq=236 ttl=50 time=197 ms
64 bytes from 5.180.211.133: icmp_seq=237 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=238 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=239 ttl=50 time=191 ms
64 bytes from 5.180.211.133: icmp_seq=240 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=241 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=242 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=243 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=244 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=245 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=246 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=247 ttl=50 time=141 ms
64 bytes from 5.180.211.133: icmp_seq=248 ttl=50 time=132 ms
64 bytes from 5.180.211.133: icmp_seq=249 ttl=50 time=190 ms
64 bytes from 5.180.211.133: icmp_seq=250 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=251 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=252 ttl=50 time=180 ms
64 bytes from 5.180.211.133: icmp_seq=253 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=254 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=255 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=256 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=257 ttl=50 time=219 ms
64 bytes from 5.180.211.133: icmp_seq=258 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=259 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=260 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=261 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=262 ttl=50 time=179 ms
64 bytes from 5.180.211.133: icmp_seq=263 ttl=50 time=132 ms
64 bytes from 5.180.211.133: icmp_seq=264 ttl=50 time=299 ms
64 bytes from 5.180.211.133: icmp_seq=265 ttl=50 time=169 ms
64 bytes from 5.180.211.133: icmp_seq=266 ttl=50 time=140 ms
64 bytes from 5.180.211.133: icmp_seq=267 ttl=50 time=288 ms
64 bytes from 5.180.211.133: icmp_seq=268 ttl=50 time=150 ms
64 bytes from 5.180.211.133: icmp_seq=269 ttl=50 time=326 ms
64 bytes from 5.180.211.133: icmp_seq=270 ttl=50 time=195 ms
64 bytes from 5.180.211.133: icmp_seq=271 ttl=50 time=136 ms
64 bytes from 5.180.211.133: icmp_seq=272 ttl=50 time=240 ms
64 bytes from 5.180.211.133: icmp_seq=273 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=275 ttl=50 time=230 ms
64 bytes from 5.180.211.133: icmp_seq=276 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=277 ttl=50 time=265 ms
64 bytes from 5.180.211.133: icmp_seq=278 ttl=50 time=136 ms
64 bytes from 5.180.211.133: icmp_seq=279 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=280 ttl=50 time=451 ms
64 bytes from 5.180.211.133: icmp_seq=281 ttl=50 time=250 ms
64 bytes from 5.180.211.133: icmp_seq=282 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=283 ttl=50 time=165 ms
64 bytes from 5.180.211.133: icmp_seq=284 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=285 ttl=50 time=207 ms
64 bytes from 5.180.211.133: icmp_seq=286 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=287 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=288 ttl=50 time=192 ms
64 bytes from 5.180.211.133: icmp_seq=289 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=290 ttl=50 time=133 ms
64 bytes from 5.180.211.133: icmp_seq=291 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=292 ttl=50 time=130 ms
64 bytes from 5.180.211.133: icmp_seq=293 ttl=50 time=156 ms
64 bytes from 5.180.211.133: icmp_seq=294 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=295 ttl=50 time=129 ms
64 bytes from 5.180.211.133: icmp_seq=296 ttl=50 time=146 ms
64 bytes from 5.180.211.133: icmp_seq=297 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=298 ttl=50 time=193 ms
64 bytes from 5.180.211.133: icmp_seq=299 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=300 ttl=50 time=132 ms
