PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=28 ttl=50 time=77.3 ms
64 bytes from 5.180.211.133: icmp_seq=29 ttl=50 time=78.4 ms
64 bytes from 5.180.211.133: icmp_seq=30 ttl=50 time=85.0 ms
64 bytes from 5.180.211.133: icmp_seq=31 ttl=50 time=80.0 ms
64 bytes from 5.180.211.133: icmp_seq=32 ttl=50 time=80.8 ms
64 bytes from 5.180.211.133: icmp_seq=33 ttl=50 time=81.7 ms
64 bytes from 5.180.211.133: icmp_seq=34 ttl=50 time=83.9 ms
64 bytes from 5.180.211.133: icmp_seq=35 ttl=50 time=86.6 ms
64 bytes from 5.180.211.133: icmp_seq=36 ttl=50 time=86.2 ms
64 bytes from 5.180.211.133: icmp_seq=37 ttl=50 time=83.4 ms
64 bytes from 5.180.211.133: icmp_seq=38 ttl=50 time=87.4 ms
64 bytes from 5.180.211.133: icmp_seq=39 ttl=50 time=95.2 ms
64 bytes from 5.180.211.133: icmp_seq=40 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=41 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=42 ttl=50 time=96.7 ms
64 bytes from 5.180.211.133: icmp_seq=43 ttl=50 time=125 ms
64 bytes from 5.180.211.133: icmp_seq=44 ttl=50 time=91.5 ms
64 bytes from 5.180.211.133: icmp_seq=45 ttl=50 time=96.7 ms
64 bytes from 5.180.211.133: icmp_seq=46 ttl=50 time=90.1 ms
64 bytes from 5.180.211.133: icmp_seq=47 ttl=50 time=92.1 ms
64 bytes from 5.180.211.133: icmp_seq=48 ttl=50 time=151 ms
64 bytes from 5.180.211.133: icmp_seq=49 ttl=50 time=145 ms
64 bytes from 5.180.211.133: icmp_seq=50 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=51 ttl=50 time=85.7 ms
64 bytes from 5.180.211.133: icmp_seq=52 ttl=50 time=111 ms
64 bytes from 5.180.211.133: icmp_seq=53 ttl=50 time=111 ms
64 bytes from 5.180.211.133: icmp_seq=54 ttl=50 time=93.8 ms
64 bytes from 5.180.211.133: icmp_seq=55 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=56 ttl=50 time=167 ms
64 bytes from 5.180.211.133: icmp_seq=57 ttl=50 time=108 ms
