PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=83 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=84 ttl=50 time=112 ms
64 bytes from 5.180.211.133: icmp_seq=85 ttl=50 time=86.6 ms
64 bytes from 5.180.211.133: icmp_seq=86 ttl=50 time=145 ms
64 bytes from 5.180.211.133: icmp_seq=87 ttl=50 time=108 ms
64 bytes from 5.180.211.133: icmp_seq=88 ttl=50 time=160 ms
64 bytes from 5.180.211.133: icmp_seq=89 ttl=50 time=149 ms
64 bytes from 5.180.211.133: icmp_seq=90 ttl=50 time=112 ms
64 bytes from 5.180.211.133: icmp_seq=91 ttl=50 time=96.2 ms
64 bytes from 5.180.211.133: icmp_seq=92 ttl=50 time=97.5 ms
64 bytes from 5.180.211.133: icmp_seq=93 ttl=50 time=88.0 ms
64 bytes from 5.180.211.133: icmp_seq=94 ttl=50 time=94.3 ms
64 bytes from 5.180.211.133: icmp_seq=95 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=96 ttl=50 time=95.9 ms
64 bytes from 5.180.211.133: icmp_seq=97 ttl=50 time=109 ms
64 bytes from 5.180.211.133: icmp_seq=98 ttl=50 time=98.2 ms
64 bytes from 5.180.211.133: icmp_seq=99 ttl=50 time=98.9 ms
64 bytes from 5.180.211.133: icmp_seq=100 ttl=50 time=89.6 ms
64 bytes from 5.180.211.133: icmp_seq=101 ttl=50 time=78.1 ms
64 bytes from 5.180.211.133: icmp_seq=102 ttl=50 time=91.7 ms
64 bytes from 5.180.211.133: icmp_seq=103 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=104 ttl=50 time=83.8 ms
64 bytes from 5.180.211.133: icmp_seq=105 ttl=50 time=91.1 ms
64 bytes from 5.180.211.133: icmp_seq=106 ttl=50 time=98.4 ms
64 bytes from 5.180.211.133: icmp_seq=107 ttl=50 time=93.8 ms
64 bytes from 5.180.211.133: icmp_seq=108 ttl=50 time=91.6 ms
64 bytes from 5.180.211.133: icmp_seq=109 ttl=50 time=93.0 ms
64 bytes from 5.180.211.133: icmp_seq=110 ttl=50 time=134 ms
64 bytes from 5.180.211.133: icmp_seq=111 ttl=50 time=83.7 ms
64 bytes from 5.180.211.133: icmp_seq=112 ttl=50 time=97.3 ms
64 bytes from 5.180.211.133: icmp_seq=113 ttl=50 time=92.7 ms
64 bytes from 5.180.211.133: icmp_seq=114 ttl=50 time=114 ms
