PING nyc.speedtest.clouvider.net (194.33.45.192) 56(84) bytes of data.
64 bytes from 194.33.45.192: icmp_seq=39 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=40 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=41 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=42 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=43 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=44 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=45 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=46 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=47 ttl=49 time=307 ms
64 bytes from 194.33.45.192: icmp_seq=48 ttl=49 time=403 ms
64 bytes from 194.33.45.192: icmp_seq=49 ttl=49 time=308 ms
64 bytes from 194.33.45.192: icmp_seq=50 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=51 ttl=49 time=326 ms
64 bytes from 194.33.45.192: icmp_seq=52 ttl=49 time=404 ms
64 bytes from 194.33.45.192: icmp_seq=53 ttl=49 time=285 ms
64 bytes from 194.33.45.192: icmp_seq=54 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=55 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=56 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=57 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=58 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=59 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=60 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=61 ttl=49 time=278 ms
64 bytes from 194.33.45.192: icmp_seq=62 ttl=49 time=280 ms
64 bytes from 194.33.45.192: icmp_seq=63 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=64 ttl=49 time=281 ms
64 bytes from 194.33.45.192: icmp_seq=65 ttl=49 time=283 ms
64 bytes from 194.33.45.192: icmp_seq=66 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=67 ttl=49 time=279 ms
64 bytes from 194.33.45.192: icmp_seq=68 ttl=49 time=282 ms
64 bytes from 194.33.45.192: icmp_seq=69 ttl=49 time=282 ms
